
184	1 2 5 9 	0 1 4 8 	4-19 
185	1 2 5 A 	0 3 4 7 	4-17 
186	1 2 5 B 	0 2 3 6 	4-12 
187	1 2 6 7 	0 1 5 6 	4-8 
188	1 2 6 8 	0 1 5 7 	4-16 
189	1 2 6 9 	0 1 5 8 	4-20 
190	1 2 6 A 	0 1 4 8 	4-19 
191	1 2 6 B 	0 2 3 7 	4-14 
192	1 2 7 8 	0 1 6 7 	4-9 
193	1 2 7 9 	0 1 5 7 	4-16 
194	1 2 7 A 	0 1 4 7 	4-18 
195	1 2 7 B 	0 1 3 7 	4-29 
196	1 2 8 9 	0 1 5 6 	4-8 
197	1 2 8 A 	0 1 4 6 	4-15 
198	1 2 8 B 	0 1 3 6 	4-13 
199	1 2 9 A 	0 1 4 5 	4-7 
200	1 2 9 B 	0 1 3 5 	4-11 
201	1 2 A B 	0 1 3 4 	4-3 
202	1 3 4 5 	0 1 2 4 	4-2 
203	1 3 4 6 	0 2 3 5 	4-10 
204	1 3 4 7 	0 2 3 6 	4-12 
205	1 3 4 8 	0 2 3 7 	4-14 
206	1 3 4 9 	0 1 3 7 	4-29 
207	1 3 4 A 	0 1 3 6 	4-13 
208	1 3 4 B 	0 1 3 5 	4-11 
209	1 3 5 6 	0 1 3 5 	4-11 
210	1 3 5 7 	0 2 4 6 	4-21 
211	1 3 5 8 	0 2 4 7 	4-22 
212	1 3 5 9 	0 2 4 8 	4-24 
213	1 3 5 A 	0 2 4 7 	4-22 
214	1 3 5 B 	0 2 4 6 	4-21 
215	1 3 6 7 	0 1 4 6 	4-15 
216	1 3 6 8 	0 2 5 7 	4-23 
217	1 3 6 9 	0 2 5 8 	4-27 
218	1 3 6 A 	0 3 5 8 	4-26 
219	1 3 6 B 	0 2 4 7 	4-22 
220	1 3 7 8 	0 1 5 7 	4-16 
221	1 3 7 9 	0 2 6 8 	4-25 
222	1 3 7 A 	0 2 5 8 	4-27 
223	1 3 7 B 	0 2 4 8 	4-24 
224	1 3 8 9 	0 1 5 7 	4-16 
225	1 3 8 A 	0 2 5 7 	4-23 
226	1 3 8 B 	0 2 4 7 	4-22 
227	1 3 9 A 	0 1 4 6 	4-15 
228	1 3 9 B 	0 2 4 6 	4-21 
229	1 3 A B 	0 1 3 5 	4-11 
230	1 4 5 6 	0 1 2 5 	4-4 
231	1 4 5 7 	0 2 3 6 	4-12 
232	1 4 5 8 	0 3 4 7 	4-17 
233	1 4 5 9 	0 1 4 8 	4-19 
234	1 4 5 A 	0 1 4 7 	4-18 
235	1 4 5 B 	0 1 4 6 	4-15 
236	1 4 6 7 	0 1 3 6 	4-13 
237	1 4 6 8 	0 2 4 7 	4-22 
238	1 4 6 9 	0 3 5 8 	4-26 
239	1 4 6 A 	0 2 5 8 	4-27 
240	1 4 6 B 	0 2 5 7 	4-23 
241	1 4 7 8 	0 1 4 7 	4-18 
242	1 4 7 9 	0 2 5 8 	4-27 
243	1 4 7 A 	0 3 6 9 	4-28 
244	1 4 7 B 	0 2 5 8 	4-27 
245	1 4 8 9 	0 1 5 8 	4-20 
246	1 4 8 A 	0 2 5 8 	4-27 
247	1 4 8 B 	0 3 5 8 	4-26 
248	1 4 9 A 	0 1 4 7 	4-18 
249	1 4 9 B 	0 2 4 7 	4-22 
250	1 4 A B 	0 1 3 6 	4-13 
251	1 5 6 7 	0 1 2 6 	4-5 
252	1 5 6 8 	0 2 3 7 	4-14 
253	1 5 6 9 	0 1 4 8 	4-19 
254	1 5 6 A 	0 1 5 8 	4-20 
255	1 5 6 B 	0 1 5 7 	4-16 
256	1 5 7 8 	0 1 3 7 	4-29 
257	1 5 7 9 	0 2 4 8 	4-24 
258	1 5 7 A 	0 2 5 8 	4-27 
259	1 5 7 B 	0 2 6 8 	4-25 
260	1 5 8 9 	0 1 4 8 	4-19 
261	1 5 8 A 	0 3 5 8 	4-26 
262	1 5 8 B 	0 2 5 8 	4-27 
263	1 5 9 A 	0 1 4 8 	4-19 
264	1 5 9 B 	0 2 4 8 	4-24 
265	1 5 A B 	0 1 3 7 	4-29 
266	1 6 7 8 	0 1 2 7 	4-6 
267	1 6 7 9 	0 1 3 7 	4-29 
268	1 6 7 A 	0 1 4 7 	4-18 
269	1 6 7 B 	0 1 5 7 	4-16 
270	1 6 8 9 	0 2 3 7 	4-14 
271	1 6 8 A 	0 2 4 7 	4-22 
272	1 6 8 B 	0 2 5 7 	4-23 
273	1 6 9 A 	0 3 4 7 	4-17 
274	1 6 9 B 	0 2 4 7 	4-22 
275	1 6 A B 	0 2 3 7 	4-14 
276	1 7 8 9 	0 1 2 6 	4-5 
277	1 7 8 A 	0 1 3 6 	4-13 
278	1 7 8 B 	0 1 4 6 	4-15 
279	1 7 9 A 	0 2 3 6 	4-12 
280	1 7 9 B 	0 2 4 6 	4-21 
281	1 7 A B 	0 2 3 6 	4-12 
282	1 8 9 A 	0 1 2 5 	4-4 
283	1 8 9 B 	0 1 3 5 	4-11 
284	1 8 A B 	0 2 3 5 	4-10 
